"Version Control","Versionshantering"
"Published", "Publicerad"
"Under Version Control", "Versionshantering"
"Currently Published Revision", "För närvarande publicerat revision"
"Hierarchy", "Hierarki"
"Manage Hierarchy", "Hantera hierarki"
"This Page Belongs To", "Denna sida tillhör"
"Versions", "Versioner"
"Version Label", "Versionsetikett"
"Owner", "Skapare"
"Author", "Skapare"
"Revisions Qty", "Antal revisioner"
"Save as New Version", "Spara som ny version"
"New Revision...", "Ny revision..."
"Private", "Privat"
"Protected", "Skyddad"
"Public", "Publik"
"Publish", "Publicera"
"Save and Publish", "Spara och publicera"
"Save in New Version...", "Spara i ny verison..."
"Edit Page '%s' New Revision","Ändra sida '%s' ny revision"
"Edit Page '%s' Revision #%s","Ändra sida '%s' revision #%s"
"Edit Page '%s' Version '%s'","Ändra sida '%s' version '%s'"
"Edit Revision","Ändra revision"
"Edit Version","Ändra version"
"The new version has been created.", "Den nya versionen har sparats."
"The revision has been published.", "Revisionen har publicerats."
"The revision has been saved.", "Revisionen har sparats."