"Gift Card","Presentkort"
"Prices", "Priser"
"Gift Card Information", "Presentkortsinfo"
"Choose an Amount...", "Välj ett belopp..."
"Other Amount...", "Annat belopp..."
"Minimum: %s", "Minimal: %s"
"Maximum: %s", "Maximal: %s"
"Amount in %s", "Belopp i %s"
"Entered amount is too low", "Angivet belopp är för lågt"
"Entered amount is too high", "Angivet belopp är för högt"
"Maximum length of the message is %d characters.", "Maximal längd på meddelandet är %d tecken."
"Gift Card Accounts Generated From Gift Card", "Presentkortskonton genererade från slutkund"
"Gift Card Account Sent From Edit Page", "Presentkortskonton skickade från Admin"